Function,f_bias,Dimension,Algorithm,Run,Fitness,Time(s)
F6,1800.0,10,AO,1,2.193721261465342e+04,0.1982
F6,1800.0,10,AO,2,1.301798220342999e+04,0.1990
F6,1800.0,10,AO,3,3.387153974647638e+04,0.1988
F6,1800.0,10,DBO,1,7.457504113317642e+04,0.1840
F6,1800.0,10,DBO,2,4.400662135060825e+04,0.1844
F6,1800.0,10,DBO,3,8.648087001854111e+04,0.1847
F7,2000.0,10,WSOA,1,2.031820439418762e+03,1.9936
F7,2000.0,10,WSOA,2,2.026685325289228e+03,2.0441
F7,2000.0,10,WSOA,3,2.029033174300512e+03,2.0748
F7,2000.0,10,PSO,1,2.033873301096650e+03,1.5687
F7,2000.0,10,PSO,2,2.030853791059000e+03,1.5989
F7,2000.0,10,PSO,3,2.062222059956911e+03,1.6194
F7,2000.0,10,DE,1,2.047625066499632e+03,1.8449
F7,2000.0,10,DE,2,2.046503812825008e+03,1.8484
F7,2000.0,10,DE,3,2.058982228424096e+03,1.8600
F7,2000.0,10,GA,1,2.024089768337469e+03,1.7375
F7,2000.0,10,GA,2,2.023241872503814e+03,1.7325
F7,2000.0,10,GA,3,2.025830986067837e+03,1.7442
F7,2000.0,10,ABC,1,2.027811790128159e+03,1.8335
F7,2000.0,10,ABC,2,2.024744928962151e+03,1.8249
F7,2000.0,10,ABC,3,2.019858968222598e+03,1.8569
F7,2000.0,10,GWO,1,2.034984683942395e+03,1.7692
F7,2000.0,10,GWO,2,2.042346547144793e+03,1.7908
F7,2000.0,10,GWO,3,2.039851200524260e+03,1.8151
F7,2000.0,10,WOA,1,2.036190399284948e+03,1.7387
F7,2000.0,10,WOA,2,2.055814613993937e+03,1.7545
F7,2000.0,10,WOA,3,2.037071502474113e+03,1.7680
F7,2000.0,10,SCA,1,2.150581834584170e+03,1.7248
F7,2000.0,10,SCA,2,2.204274723078975e+03,1.7068
F7,2000.0,10,SCA,3,2.085061187904139e+03,1.7432
F7,2000.0,10,HHO,1,2.104318835478328e+03,3.1651
F7,2000.0,10,HHO,2,2.078572696563763e+03,3.0888
F7,2000.0,10,HHO,3,2.042549230859071e+03,3.1329
F7,2000.0,10,MPA,1,2.026006046196485e+03,1.7389
F7,2000.0,10,MPA,2,2.024732311515334e+03,1.7506
F7,2000.0,10,MPA,3,2.026680350067331e+03,1.7439
F7,2000.0,10,AO,1,2.020828701561400e+03,1.6704
F7,2000.0,10,AO,2,2.036167462140735e+03,1.7199
F7,2000.0,10,AO,3,2.054264332301345e+03,1.6885
F7,2000.0,10,DBO,1,2.118586110265529e+03,1.6640
F7,2000.0,10,DBO,2,2.054405354886319e+03,1.7582
F7,2000.0,10,DBO,3,2.032754097974748e+03,1.6917
F8,2200.0,10,WSOA,1,2.223776853285758e+03,2.7639
F8,2200.0,10,WSOA,2,2.224789618608447e+03,2.7009
F8,2200.0,10,WSOA,3,2.211594761191384e+03,2.7122
F8,2200.0,10,PSO,1,2.872512356443199e+03,2.1906
F8,2200.0,10,PSO,2,2.370198349935311e+03,2.1780
F8,2200.0,10,PSO,3,2.252133815995884e+03,2.3682
F8,2200.0,10,DE,1,2.215597390375447e+03,2.4405
F8,2200.0,10,DE,2,2.222593383297352e+03,2.4508
F8,2200.0,10,DE,3,2.226446822539118e+03,2.4201
F8,2200.0,10,GA,1,2.366893721757950e+03,2.3561
F8,2200.0,10,GA,2,2.306336110271421e+03,2.3142
F8,2200.0,10,GA,3,2.265895602717907e+03,2.3436
F8,2200.0,10,ABC,1,2.233718911910420e+03,2.4306
F8,2200.0,10,ABC,2,2.312972987371937e+03,2.4145
F8,2200.0,10,ABC,3,2.225181038790512e+03,2.4294
F8,2200.0,10,GWO,1,2.453342609574161e+03,2.4033
F8,2200.0,10,GWO,2,4.149355883866861e+03,2.3689
F8,2200.0,10,GWO,3,2.665185210648268e+03,2.4025
F8,2200.0,10,WOA,1,2.780101208885855e+03,2.3777
F8,2200.0,10,WOA,2,3.817945334484318e+03,2.3385
F8,2200.0,10,WOA,3,2.261988669661238e+03,2.3577
F8,2200.0,10,SCA,1,2.970434893339951e+03,2.3063
F8,2200.0,10,SCA,2,3.325334161556713e+03,2.2914
F8,2200.0,10,SCA,3,4.115465444720623e+03,2.3148
F8,2200.0,10,HHO,1,3.332300637739440e+03,4.3068
F8,2200.0,10,HHO,2,2.619778971246569e+03,4.1798
F8,2200.0,10,HHO,3,2.931523166254481e+03,4.2667
F8,2200.0,10,MPA,1,2.325977337370321e+03,2.3472
F8,2200.0,10,MPA,2,2.281843207537063e+03,2.3080
F8,2200.0,10,MPA,3,2.332796494059502e+03,2.3168
F8,2200.0,10,AO,1,2.284944691924932e+03,2.3012
F8,2200.0,10,AO,2,2.341848466438997e+03,2.2669
F8,2200.0,10,AO,3,2.281163851503421e+03,2.2961
F8,2200.0,10,DBO,1,2.315852413993407e+03,2.2809
F8,2200.0,10,DBO,2,2.384643998127218e+03,2.2693
F8,2200.0,10,DBO,3,4.852903434221819e+03,2.2859
F9,2300.0,10,WSOA,1,2.300007505077531e+03,0.6966
F9,2300.0,10,WSOA,2,2.667496273795897e+03,0.7039
F9,2300.0,10,WSOA,3,2.664760033524852e+03,0.6992
F9,2300.0,10,PSO,1,2.746850866992607e+03,0.4525
F9,2300.0,10,PSO,2,2.771080882598993e+03,0.4504
F9,2300.0,10,PSO,3,2.680523187087415e+03,0.4512
F9,2300.0,10,DE,1,2.306755454376132e+03,0.6695
F9,2300.0,10,DE,2,2.659227860042685e+03,0.6564
F9,2300.0,10,DE,3,2.302636128266728e+03,0.6754
F9,2300.0,10,GA,1,2.675494242327966e+03,0.6156
F9,2300.0,10,GA,2,2.681517610029999e+03,0.5960
F9,2300.0,10,GA,3,2.682484441743000e+03,0.5974
F9,2300.0,10,ABC,1,2.410277273973432e+03,0.6531
F9,2300.0,10,ABC,2,2.322269652152684e+03,0.6506
F9,2300.0,10,ABC,3,2.352050745856893e+03,0.6866
F9,2300.0,10,GWO,1,2.661228962683771e+03,0.5971
F9,2300.0,10,GWO,2,2.720232351671056e+03,0.5952
F9,2300.0,10,GWO,3,2.670229773871905e+03,0.5970
F9,2300.0,10,WOA,1,2.669610139487421e+03,0.5635
F9,2300.0,10,WOA,2,2.669971595164321e+03,0.5659
F9,2300.0,10,WOA,3,2.672723933434266e+03,0.5694
F9,2300.0,10,SCA,1,2.732842082637454e+03,0.5246
F9,2300.0,10,SCA,2,2.681253345598834e+03,0.5259
F9,2300.0,10,SCA,3,2.702503930808979e+03,0.5246
F9,2300.0,10,HHO,1,2.756423947893371e+03,0.9740
F9,2300.0,10,HHO,2,2.671128964947407e+03,0.9557
F9,2300.0,10,HHO,3,2.680627892108625e+03,0.9793
F9,2300.0,10,MPA,1,2.722300275461492e+03,0.5362
F9,2300.0,10,MPA,2,2.669859476940805e+03,0.5379
F9,2300.0,10,MPA,3,2.737296971785713e+03,0.5380
F9,2300.0,10,AO,1,2.669378528660662e+03,0.5170
