Function,f_bias,Dimension,Algorithm,Best,Worst,Mean,Median,Std,Avg_Time(s)
F3,600.0,10,WOA,6.000000220659946e+02,6.000000882557379e+02,6.000000489216792e+02,6.000000364433051e+02,2.842596105948297e-05,0.2658
F3,600.0,10,SCA,6.000547913188674e+02,6.000919541880874e+02,6.000687814156989e+02,6.000595987401417e+02,1.650274441732535e-02,0.2143
F3,600.0,10,HHO,6.000000337141327e+02,6.000000415361502e+02,6.000000364213471e+02,6.000000340137586e+02,3.618779862367452e-06,0.4037
F3,600.0,10,MPA,6.000000006789171e+02,6.000000027848065e+02,6.000000015319118e+02,6.000000011320118e+02,9.050350072507012e-07,0.2313
F3,600.0,10,AO,6.000000000020697e+02,6.000000000060172e+02,6.000000000041342e+02,6.000000000043157e+02,1.616680910028423e-09,0.2132
F3,600.0,10,DBO,6.000182523370289e+02,6.000869205730615e+02,6.000453480159421e+02,6.000308711377356e+02,2.984422514670292e-02,0.1898
F4,800.0,10,WSOA,8.160000122516306e+02,8.260000259032993e+02,8.200000203752988e+02,8.180000229709668e+02,4.320498464405192e+00,0.5233
F4,800.0,10,PSO,8.469285261610132e+02,9.265886063787916e+02,8.748790810512646e+02,8.511201106139888e+02,3.660417646713035e+01,0.2325
F4,800.0,10,DE,8.623905341298487e+02,8.754492275163057e+02,8.672799205487181e+02,8.640000000000000e+02,5.813821310452147e+00,0.4696
F4,800.0,10,GA,8.700000000000002e+02,9.320000000000031e+02,8.973333333333727e+02,8.900000000001151e+02,2.583709650009187e+01,0.3816
F4,800.0,10,ABC,8.597126872584531e+02,8.744692102190580e+02,8.663348757220284e+02,8.648227296885744e+02,6.118479206010983e+00,0.4622
F4,800.0,10,GWO,8.360000031974304e+02,8.620054513678164e+02,8.457334501331085e+02,8.391948958340786e+02,1.157973381607365e+01,0.3981
F4,800.0,10,WOA,8.283814404762936e+02,8.520089514307879e+02,8.367967992690568e+02,8.300000059000889e+02,1.077689251907434e+01,0.3728
F4,800.0,10,SCA,8.285286740664510e+02,9.047428009757840e+02,8.737571583474117e+02,8.880000000000000e+02,3.270364086656110e+01,0.3263
F4,800.0,10,HHO,8.580000000000000e+02,8.700000000000000e+02,8.620000000000001e+02,8.580000000000005e+02,5.656854249492273e+00,0.5998
F4,800.0,10,MPA,8.460000000000356e+02,8.980000000646687e+02,8.726666666942630e+02,8.740000000180847e+02,2.124983662674094e+01,0.3449
F4,800.0,10,AO,8.440000000000940e+02,8.840000000000000e+02,8.646666666667794e+02,8.660000000002443e+02,1.635712552848077e+01,0.3281
F4,800.0,10,DBO,8.460000018705992e+02,9.220000000000000e+02,8.824947188283744e+02,8.794841546145238e+02,3.109981298530606e+01,0.3059
F5,900.0,10,WSOA,9.000000002538651e+02,9.001790587870375e+02,9.000895337753573e+02,9.000895422851690e+02,7.310034030828287e-02,0.2996
F5,900.0,10,PSO,9.001210705681116e+02,9.034048677905517e+02,9.013982681644460e+02,9.006688661346748e+02,1.436396310285401e+00,0.1164
